variant,scope,count,mean_dPSNR,median_dPSNR,p01_dPSNR,p05_dPSNR,CVaR5_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,positive_ratio,severe_count,severe_rate,strong_reference_count,strong_reference_regressions,strong_reference_regression_rate,strong_easy_mean_dPSNR,strong_easy_p05_dPSNR,fold,gate_kind,threshold,threshold_low,gamma,tau,fold_tail_pass
V221_risk_soft_t0p70_tau0p20,fold2,480,2.2529348850250246,1.4955482482910156,-0.2804538726806641,0.031286811828613266,-0.23699220021565756,4.491712029774984,0.6687179247538249,0.9541666666666667,13,0.027083333333333334,120,7,0.058333333333333334,0.6687179247538249,-0.1052337646484375,2,predicted_risk_soft,0.7,,,0.2,1
V221_risk_soft_t0p70_tau0p20,fold3,480,2.190812893708547,1.5153045654296875,-0.4437237548828125,-0.03998832702636719,-0.35135571161905926,4.098014688491821,0.6940617243448893,0.93125,15,0.03125,120,8,0.06666666666666667,0.6940617243448893,-0.11017875671386719,3,predicted_risk_soft,0.7,,,0.2,1
V221_risk_soft_t0p70_tau0p20,fold4,480,2.203341007232666,1.6719379425048828,-0.36465450286865236,-0.0035852432250976576,-0.23410892486572266,4.2589365641276045,0.8017394065856933,0.9458333333333333,9,0.01875,120,5,0.041666666666666664,0.8017394065856933,-0.024685478210449214,4,predicted_risk_soft,0.7,,,0.2,1
V221_risk_temperature_gamma0p50,fold0,480,2.166061317920685,1.480255126953125,-0.23745044708251953,-0.009324836730957034,-0.18046983083089194,4.32321785291036,0.7417883555094401,0.94375,7,0.014583333333333334,120,8,0.06666666666666667,0.7417883555094401,-0.12285022735595703,0,predicted_risk_temperature,,,0.5,,1
V221_risk_temperature_gamma0p50,fold1,480,2.2664589047431947,1.5712509155273438,-0.20108997344970703,0.005534553527832028,-0.13283205032348633,4.284027147293091,0.8112989743550618,0.9541666666666667,5,0.010416666666666666,120,6,0.05,0.8112989743550618,-0.049694252014160153,1,predicted_risk_temperature,,,0.5,,1
V221_risk_temperature_gamma0p50,fold2,480,2.2723618586858114,1.4949302673339844,-0.22692474365234375,0.017263793945312494,-0.17007621129353842,4.535991795857748,0.6846133232116699,0.95625,8,0.016666666666666666,120,6,0.05,0.6846133232116699,-0.019382858276367182,2,predicted_risk_temperature,,,0.5,,1
V221_risk_temperature_gamma0p50,fold3,480,2.208452892303467,1.5145683288574219,-0.4378560638427734,-0.038711929321289064,-0.33873462677001953,4.128278636932373,0.7047160466512045,0.9354166666666667,14,0.029166666666666667,120,7,0.058333333333333334,0.7047160466512045,-0.08516750335693359,3,predicted_risk_temperature,,,0.5,,1
V221_risk_temperature_gamma0p50,fold4,480,2.2217918475468954,1.6655521392822266,-0.334331169128418,0.013455581665039051,-0.2162322998046875,4.3119020144144695,0.8076910336812337,0.95,9,0.01875,120,3,0.025,0.8076910336812337,-0.00372085571289062,4,predicted_risk_temperature,,,0.5,,1
V221_risk_temperature_gamma1p00,fold0,480,2.119871139526367,1.4117164611816406,-0.04353389739990234,0.017051696777343747,-0.055464585622151695,4.284895420074463,0.6825076421101888,0.9708333333333333,1,0.0020833333333333333,120,3,0.025,0.6825076421101888,-0.0025703430175781222,0,predicted_risk_temperature,,,1.0,,1
V221_risk_temperature_gamma1p00,fold1,480,2.2325812220573424,1.5047779083251953,-0.030951194763183594,0.007776832580566405,-0.03406079610188802,4.274259869257609,0.7625746091206869,0.9645833333333333,2,0.004166666666666667,120,2,0.016666666666666666,0.7625746091206869,-0.005852127075195312,1,predicted_risk_temperature,,,1.0,,1
