family,alpha,group,bin,count,mean_dPSNR,mean_bootstrap_LCB,hard_bottom25_dPSNR,hard_bootstrap_LCB,easy_top25_dPSNR,worst_dPSNR,dSSIM,positive_ratio,positive_Wilson_LCB,nonnegative_ratio,severe_loss_count,severe_loss_per_600,severe_Wilson_UCB
expert,0.125,dark_channel_q4,q4,150,0.5628529739379883,0.5311545441945394,0.5656341862034153,0.49375489209149337,0.5702252774625212,-0.06299018859863281,0.0007666250069936117,0.98,0.9428523341357584,0.98,0,0.0,0.02497113914571871
expert,0.125,low_texture_q4,q1,150,0.5639517466227214,0.5329477310180664,0.6397498878272804,0.5760046933148358,0.5866946658572635,-0.13965606689453125,0.0006223328908284506,0.98,0.9428523341357584,0.98,0,0.0,0.02497113914571871
expert,0.125,low_texture_q4,q2,150,0.5554777781168619,0.5232408644358317,0.49709979907886404,0.4297333562696303,0.645229958199166,-0.15317535400390625,0.000511640707651774,0.9733333333333334,0.9334450938998244,0.9733333333333334,0,0.0,0.02497113914571871
expert,0.125,low_texture_q4,q3,150,0.5499402236938477,0.5097989387512207,0.49092684565363703,0.4097963977504421,0.6245092443517737,-0.3823966979980469,0.0005676666895548503,0.9733333333333334,0.9334450938998244,0.9733333333333334,1,4.0,0.036793752933975674
expert,0.125,low_texture_q4,q4,150,0.5765226618448893,0.5382414283752441,0.4846631127434808,0.4086932053437104,0.6360367439888619,-0.12112045288085938,0.0005186959107716878,0.9866666666666667,0.9526921436197237,0.9866666666666667,0,0.0,0.02497113914571871
expert,0.125,edge_density_q4,q1,150,0.6076957575480143,0.5732421188354493,0.528850710069811,0.4530579747380437,0.6439568803117082,-0.13965606689453125,0.0007544982433319091,0.9666666666666667,0.9243471574929044,0.9666666666666667,0,0.0,0.02497113914571871
expert,0.125,edge_density_q4,q2,150,0.595023447672526,0.5674691301981608,0.5921175157701647,0.5334440385973132,0.5820369204959354,-0.07602310180664062,0.0006033670902252197,0.9866666666666667,0.9526921436197237,0.9866666666666667,0,0.0,0.02497113914571871
expert,0.125,edge_density_q4,q3,150,0.5332990264892579,0.49222163009643555,0.4924384452201225,0.41385196221841347,0.6293263821988493,-0.3823966979980469,0.000425419012705485,0.98,0.9428523341357584,0.98,1,4.0,0.036793752933975674
expert,0.125,edge_density_q4,q4,150,0.5098741785685221,0.47521595637003583,0.4238542608312658,0.3395413269867768,0.562564231253959,-0.12112045288085938,0.00043705185254414876,0.98,0.9428523341357584,0.98,0,0.0,0.02497113914571871
expert,0.125,sky_highlight_proxy_q4,q1,150,0.5745624669392904,0.5342486190795899,0.47474644635174723,0.3898604161030537,0.6370452674659522,-0.3823966979980469,0.00043628573417663573,0.98,0.9428523341357584,0.98,1,4.0,0.036793752933975674
expert,0.125,sky_highlight_proxy_q4,q2,150,0.564212417602539,0.529781042734782,0.45924078451620565,0.389124955357732,0.6023034791688662,-0.12112045288085938,0.0004900650183359782,0.98,0.9428523341357584,0.98,0,0.0,0.02497113914571871
expert,0.125,sky_highlight_proxy_q4,q3,150,0.5651559575398764,0.5318463064829508,0.5444292120031409,0.481573486328125,0.6017605549580342,-0.15317535400390625,0.0006605247656504313,0.9866666666666667,0.9526921436197237,0.9866666666666667,0,0.0,0.02497113914571871
expert,0.125,sky_highlight_proxy_q4,q4,150,0.5419615681966146,0.5078786004384358,0.5595459809174409,0.4911186811086294,0.5459617408546241,-0.13965606689453125,0.0006334606806437175,0.9666666666666667,0.9243471574929044,0.9666666666666667,0,0.0,0.02497113914571871
expert,0.125,split,val_hard,300,0.5360431162516276,0.5118864192962647,0.5018799336751302,0.45079370244344075,0.5675819396972657,-0.13965606689453125,0.00063437819480896,0.98,0.9570598132699448,0.98,0,0.0,0.012643429997735661
expert,0.125,split,val_regular,300,0.5869030888875325,0.5604840710957845,0.5203665669759114,0.4639404017130534,0.6304860432942708,-0.3823966979980469,0.0004757899045944214,0.9766666666666667,0.9526274456671211,0.9766666666666667,1,2.0,0.018637164554943353
expert,0.25,A0-PSNR_q4,q1,150,1.0646472803751628,0.9902094949086507,1.0635646613868508,0.9179923805030616,1.0664530573664486,-0.26837158203125,0.0015642257531483968,0.9666666666666667,0.9243471574929044,0.9666666666666667,1,4.0,0.036793752933975674
expert,0.25,A0-PSNR_q4,q2,150,1.0592973327636719,0.9846431719462078,0.958487742655986,0.8214262060216956,1.0175350292308911,-0.23176193237304688,0.0010145203272501628,0.98,0.9428523341357584,0.98,1,4.0,0.036793752933975674
expert,0.25,A0-PSNR_q4,q3,150,1.1348242696126303,1.0468698959350586,1.12856303034602,0.9811848614666913,1.2836149061048352,-0.8738479614257812,0.0010182034969329833,0.9733333333333334,0.9334450938998244,0.9733333333333334,3,12.0,0.05714766586424166
expert,0.25,A0-PSNR_q4,q4,150,1.1502952067057293,1.0808899485270183,1.1320939966150232,0.951649114247915,1.0983387715107686,-0.24681854248046875,0.0005243555704752605,0.9733333333333334,0.9334450938998244,0.9733333333333334,2,8.0,0.047307856380276334
expert,0.25,Expert-A0_diff_signed_q4,q1,150,1.4027208201090495,1.3059279098510743,1.3971093667520058,1.2786505389857938,1.3389024476747255,-0.8738479614257812,0.0016348083813985189,0.9733333333333334,0.9334450938998244,0.9733333333333334,2,8.0,0.047307856380276334
expert,0.25,Expert-A0_diff_signed_q4,q2,150,1.0469163004557291,0.977724126180013,0.7827918593947952,0.6319773106961637,1.3306498140902132,-0.26837158203125,0.0010850008328755698,0.9733333333333334,0.9334450938998244,0.9733333333333334,1,4.0,0.036793752933975674
expert,0.25,Expert-A0_diff_signed_q4,q3,150,0.9905868403116862,0.9290336329142252,0.7724960430248363,0.6506202646203944,1.233723511566987,-0.35854339599609375,0.0007550414403279623,0.9866666666666667,0.9526921436197237,0.9866666666666667,1,4.0,0.036793752933975674
expert,0.25,Expert-A0_diff_signed_q4,q4,150,0.9688401285807292,0.8945018316904704,0.753246410472973,0.6317676698839343,1.1099857639622044,-0.24681854248046875,0.0006464544932047526,0.96,0.9154854608728422,0.96,3,12.0,0.05714766586424166
