source,feature,bucket,count,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,worst_count_le_-0.20,worst_per_600,strong_count_le_-0.05,strong_per_600
D8_train_derived,variant,u1_tau_l1_s004_g025_a006,1754,0.10036835512794139,0.11278939355998278,0.07620059845110053,2.5702820944269543e-05,0.6949828962371721,157,53.70581527936146,134,45.83808437856329
D8_train_derived,variant,u2_tau_l3_s004_g015_a006,217,0.02741324956515967,0.04860803816053602,-0.012887954711914062,-2.666277819514824e-06,0.5576036866359447,11,30.414746543778804,14,38.70967741935484
D8_train_derived,variant,u3_tau_l2_s002_g025_a006,429,0.01379475004467375,0.018256445911443122,0.02709123130156615,2.777798748238659e-06,0.5617715617715617,18,25.174825174825177,18,25.174825174825177
D8_train_derived,action,U1_TAU_high_gain@0.1,114,-0.001598692776864035,-0.0004177093505859375,0.0032212393624441965,-2.5682282029536734e-06,0.47368421052631576,0,0.0,2,10.526315789473683
D8_train_derived,action,U1_TAU_high_gain@0.25,18,0.0026333067152235243,-0.006059169769287109,-0.0016193389892578125,6.0300032297770185e-06,0.5,0,0.0,0,0.0
D8_train_derived,action,U1_TAU_high_gain@0.5,31,0.002452481177545363,0.02027838570731027,0.027044568743024553,-2.105389871904927e-06,0.6129032258064516,3,58.064516129032256,1,19.35483870967742
D8_train_derived,action,U1_TAU_high_gain@0.75,95,0.029541216398540297,-0.004245923913043478,0.026911694070567257,5.9491709658974096e-06,0.6210526315789474,9,56.8421052631579,9,56.8421052631579
D8_train_derived,action,U1_TAU_high_gain@1,1496,0.11584124590623825,0.13547637245871805,0.08425661586822673,2.9924519878020262e-05,0.7205882352941176,145,58.155080213903744,116,46.524064171122994
D8_train_derived,action,U2_TAU_balanced@0.1,70,-0.0027874265398297993,-0.0022651447969324447,-0.002534305348115809,-3.960302897862025e-06,0.5,0,0.0,1,8.571428571428571
D8_train_derived,action,U2_TAU_balanced@0.25,5,-0.01903076171875,0.017436981201171875,-0.033580780029296875,2.2649765014648436e-07,0.4,0,0.0,0,0.0
D8_train_derived,action,U2_TAU_balanced@0.5,7,-0.04706355503627232,0.09372711181640625,-0.15708541870117188,-1.855407442365374e-05,0.42857142857142855,1,85.71428571428571,2,171.42857142857142
D8_train_derived,action,U2_TAU_balanced@0.75,23,0.015893189803413723,-0.001291656494140625,0.01785888671875,-2.080461253290591e-05,0.6086956521739131,1,26.08695652173913,3,78.26086956521739
D8_train_derived,action,U2_TAU_balanced@1,112,0.0553825923374721,0.05033384050641741,0.023275375366210938,2.7311699731009346e-06,0.5982142857142857,9,48.214285714285715,10,53.57142857142857
D8_train_derived,action,U3_TAU_tail_safe@0.1,153,-0.004118501750472324,-0.003107773630242599,-0.007922624286852385,-3.121647180295458e-06,0.48366013071895425,0,0.0,3,11.76470588235294
D8_train_derived,action,U3_TAU_tail_safe@0.25,10,0.010997772216796875,0.031749725341796875,-0.0033550262451171875,3.145933151245117e-05,0.7,0,0.0,0,0.0
D8_train_derived,action,U3_TAU_tail_safe@0.5,28,0.0019048963274274553,-0.028499603271484375,0.002644130161830357,-5.21540641784668e-07,0.6071428571428571,1,21.428571428571427,2,42.857142857142854
D8_train_derived,action,U3_TAU_tail_safe@0.75,43,0.011057210523028707,0.034155654907226565,-0.06770439147949218,9.521495464236237e-06,0.6046511627906976,3,41.860465116279066,3,41.860465116279066
D8_train_derived,action,U3_TAU_tail_safe@1,195,0.030304121359800682,0.05175308386484782,0.05878202120463053,4.92242666391226e-06,0.6,14,43.07692307692307,14,43.07692307692307
D8_train_derived,dpsnr_severity,gain_0.05_to_0.20,606,0.12018382824686888,0.11744890781427851,0.11507011565151594,2.7017428143189686e-05,1.0,0,0.0,0,0.0
D8_train_derived,dpsnr_severity,large_gain_ge_0.20,591,0.3603646654364623,0.30953792649872447,0.4132621142329002,6.39426728392212e-05,1.0,0,0.0,0,0.0
D8_train_derived,dpsnr_severity,mild_loss,336,-0.019291134107680546,-0.017123108818417505,-0.02154595511300223,-2.666775669370379e-06,0.0,0,0.0,0,0.0
D8_train_derived,dpsnr_severity,severe_loss_le_-0.20,186,-0.3547384815831338,-0.30807644387950067,-0.4218522776728091,-2.5735426974552933e-05,0.0,186,600.0,47,151.61290322580646
D8_train_derived,dpsnr_severity,small_gain_0_to_0.05,384,0.01852138340473175,0.016837855180104572,0.01792295773824056,1.8621794879436493e-06,1.0,0,0.0,0,0.0
D8_train_derived,dpsnr_severity,strong_loss_le_-0.05,297,-0.10957317159633444,-0.10735795304581926,-0.10883960208377323,-1.1781450072522917e-05,0.0,0,0.0,76,153.53535353535352
D8_train_derived,A0_PSNR,q1_low,600,0.08528067588806153,0.0852670160929362,0.08910410563151042,2.3025572299957276e-05,0.68,14,14.0,28,28.0
D8_train_derived,A0_PSNR,q2,600,0.08192605972290039,0.06593943277994792,0.08874074300130208,1.6428033510843913e-05,0.6616666666666666,36,36.0,28,28.0
D8_train_derived,A0_PSNR,q3,600,0.08328836441040038,0.10432515462239583,0.0910223642985026,2.146720886230469e-05,0.68,52,52.0,31,31.0
D8_train_derived,A0_PSNR,q4_high,600,0.0626927630106608,0.10308161417643229,0.030760421752929687,1.523892084757487e-05,0.6133333333333333,84,84.00000000000001,45,45.0
D8_train_derived,input_brightness_mean,q1_low,600,0.04783587137858073,0.08353012084960937,0.011971969604492188,1.8437206745147704e-05,0.58,84,84.00000000000001,48,48.0
D8_train_derived,input_brightness_mean,q2,600,0.09842116673787435,0.10903004964192708,0.09212122599283855,1.7990171909332275e-05,0.7133333333333334,51,51.00000000000001,33,33.0
D8_train_derived,input_brightness_mean,q3,600,0.09335012435913086,0.11921142578125,0.10930760701497395,2.439538637797038e-05,0.6783333333333333,34,34.0,35,35.0
D8_train_derived,input_brightness_mean,q4_high,600,0.07358070055643717,0.08647507985432942,0.08561871846516927,1.5336970488230387e-05,0.6633333333333333,17,17.0,24,24.0
D8_train_derived,input_texture_mean,q1_low,600,0.07919162114461263,0.07224169413248697,0.01591710408528646,2.0031829675038655e-05,0.6516666666666666,53,53.0,46,46.0
D8_train_derived,input_texture_mean,q2,600,0.07733095804850261,0.08027905782063802,0.06935195922851563,2.5239487489064534e-05,0.6483333333333333,45,45.0,35,35.0
D8_train_derived,input_texture_mean,q3,600,0.09482456843058268,0.10900057474772136,0.11795768737792969,1.8217066923777262e-05,0.6983333333333334,43,43.0,33,33.0
D8_train_derived,input_texture_mean,q4_high,600,0.0618407154083252,0.0810916519165039,0.04248247782389323,1.2671351432800293e-05,0.6366666666666667,45,45.0,48,48.0
D8_train_derived,depth_mean,q1_low,600,0.09617840766906738,0.09647596995035808,0.10315498352050781,1.4220774173736573e-05,0.68,22,22.0,35,35.0
D8_train_derived,depth_mean,q2,600,0.07900808970133463,0.07839256286621094,0.062125600179036455,2.192566792170207e-05,0.6583333333333333,40,40.0,35,35.0
D8_train_derived,depth_mean,q3,600,0.07238073348999023,0.09256337483723959,0.03462682088216146,1.5995601812998454e-05,0.6733333333333333,57,57.0,47,47.0
D8_train_derived,depth_mean,q4_high,600,0.06562063217163086,0.06828074137369791,0.014726308186848959,2.401769161224365e-05,0.6233333333333333,67,67.0,52,52.0
D8_train_derived,airlight_fallback_mean,q1_low,656,0.052859181311072374,0.09300344746287276,-0.02368854894870665,1.1287084439905679e-05,0.6204268292682927,56,51.21951219512196,63,57.6219512195122
D8_train_derived,airlight_fallback_mean,q2,646,0.0721816101310423,0.055866916727575454,0.09055325999763442,1.0822856389332113e-05,0.628482972136223,34,31.57894736842105,38,35.294117647058826
D8_train_derived,airlight_fallback_mean,q3,1098,0.09709269101502466,0.12988952998697323,0.0386057108858206,2.850632849938231e-05,0.6994535519125683,96,52.459016393442624,81,44.26229508196721
D8_train_derived,od_action_luma_abs_mean,q1_low,600,0.0009381707509358724,0.002176195780436198,0.0018673451741536458,3.0384461085001628e-06,0.5183333333333333,10,10.0,24,24.0
D8_train_derived,od_action_luma_abs_mean,q2,600,0.0408639113108317,0.035274391174316404,0.036145502726236976,1.1492470900217692e-05,0.6466666666666666,46,46.0,49,49.0
D8_train_derived,od_action_luma_abs_mean,q3,600,0.10781418800354003,0.08432943979899088,0.10722551981608074,1.7309586207071942e-05,0.725,51,51.00000000000001,41,41.0
D8_train_derived,od_action_luma_abs_mean,q4_high,600,0.1635715929667155,0.19295211791992187,0.10980717976888021,4.431923230489095e-05,0.745,79,78.99999999999999,46,46.0
D8_train_derived,od_sky_ratio,q1_low,602,0.08861682106094107,0.10630636850992839,0.0362152099609375,2.0983409247921154e-05,0.6561461794019934,67,66.77740863787375,50,49.83388704318937
D8_train_derived,od_sky_ratio,q2,598,0.08869987666407557,0.13343350199244966,0.019132703742724938,2.227369758197695e-05,0.6906354515050167,52,52.17391304347826,47,47.15719063545151
