action_area_estimate,action_area_lower,actionable,active_scene_lower,area_cap,candidate_id,cell,coverage_admissible,gain_estimate,gain_lower,gain_upper,material_scene_lower,risk_margin_upper,risk_method,safety_admissible,selected_harm_estimate,selected_harm_upper,selector,utility_method
0.0007253333333333331,0.0,False,0.031313450610975735,0.01,R0_L2__scene_isotonic__raw__setwise__cap_0p01,R0_L2,False,0.0064019039472309625,-0.0022565278653809574,0.015060335759842882,0.01788164465807339,0.00016858379876955387,scene_isotonic,False,0.08823529411764706,0.33139462005613657,setwise,raw
0.0014293333333333328,0.0,False,0.031313450610975735,0.02,R0_L2__scene_isotonic__raw__setwise__cap_0p02,R0_L2,False,0.010001055032646615,-0.004987408412623313,0.024989518477916542,0.01788164465807339,0.0005579206239135239,scene_isotonic,False,0.14925373134328357,0.4853804908278243,setwise,raw
0.0026666666666666657,0.0,False,0.031313450610975735,0.05,R0_L2__scene_isotonic__raw__setwise__cap_0p05,R0_L2,False,0.017231450947919773,-0.01631445912105768,0.05077736101689723,0.01788164465807339,0.001474569553860106,scene_isotonic,False,0.204,0.6291252299550849,setwise,raw
0.004266666666666665,0.0,False,0.031313450610975735,0.1,R0_L2__scene_isotonic__raw__setwise__cap_0p1,R0_L2,False,0.02343272161994461,-0.02627933719823573,0.07314478043812495,0.021046506823534136,0.003009646830498206,scene_isotonic,False,0.2425,0.7529250533344589,setwise,raw
0.0061439999999999976,0.0,False,0.031313450610975735,0.2,R0_L2__scene_isotonic__raw__setwise__cap_0p2,R0_L2,False,0.02905495691543617,-0.060432022155715547,0.11854193598658788,0.01788164465807339,0.005944865573852945,scene_isotonic,False,0.3211805555555556,0.9301507933085077,setwise,raw
0.006399999999999998,0.0,False,0.031313450610975735,1.0,R0_L2__scene_isotonic__raw__setwise__cap_1p0,R0_L2,False,0.033581928415640096,-0.0715011700157302,0.1386650268470104,0.01788164465807339,0.0059323633140823,scene_isotonic,False,0.3083333333333334,0.9186318233155435,setwise,raw
0.0,0.0,False,0.0,0.01,R0_L2__scene_isotonic__parent_lower__setwise__cap_0p01,R0_L2,False,0.0,0.0,0.0,0.0,0.0,scene_isotonic,False,,,setwise,parent_lower
0.0,0.0,False,0.0,0.02,R0_L2__scene_isotonic__parent_lower__setwise__cap_0p02,R0_L2,False,0.0,0.0,0.0,0.0,0.0,scene_isotonic,False,,,setwise,parent_lower
0.0,0.0,False,0.0,0.05,R0_L2__scene_isotonic__parent_lower__setwise__cap_0p05,R0_L2,False,0.0,0.0,0.0,0.0,0.0,scene_isotonic,False,,,setwise,parent_lower
0.0,0.0,False,0.0,0.1,R0_L2__scene_isotonic__parent_lower__setwise__cap_0p1,R0_L2,False,0.0,0.0,0.0,0.0,0.0,scene_isotonic,False,,,setwise,parent_lower
