feature,direction,threshold,objective,count,selected_count,coverage,mean_psnr_delta,median_psnr_delta,hard_bottom25_psnr_delta,easy_top25_psnr_delta,mean_ssim_delta,positive_ratio,strong_reference_cut_psnr,strong_regression_count_delta_le_-0.05,worst_regression_count_delta_le_-0.20,true_vs_zero_surplus,true_vs_shuffle_surplus,true_vs_normal_surplus
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage2_gate_mean,>=,0.01340301837772131,-0.0027290061314900692,600,120,0.2,0.009684855143229167,0.0,0.015261815388997397,0.010959879557291666,1.0354320208231608e-06,0.135,42.755948066711426,7,13,0.011541369756062826,0.01025618553161621,0.011041189829508464
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage2_gate_mean,<=,0.013547044806182384,-0.07215989096959433,600,510,0.85,0.021434898376464843,0.0049190521240234375,-0.0022404988606770835,0.03947903951009114,-2.390404542287191e-05,0.5066666666666667,42.755948066711426,35,63,0.03038683255513509,0.02655675252278646,0.027111698786417643
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage2_gate_mean,>=,0.013547044806182384,-0.012509006182352702,600,90,0.15,0.002969036102294922,0.0,0.00860015869140625,0.00372528076171875,5.978345870971679e-07,0.09833333333333333,42.755948066711426,4,13,0.006243836085001627,0.005584017435709635,0.005971860885620117
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage2_gate_mean,<=,0.013737135473638773,-0.07607482941945394,600,540,0.9,0.022821324666341146,0.0122528076171875,-0.0014368947347005209,0.038574295043945314,-2.3479859034220378e-05,0.5366666666666666,42.755948066711426,37,67,0.03286533355712891,0.028905938466389974,0.02948874791463216
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage2_gate_mean,<=,0.014101690845564008,-0.08440459966659546,600,570,0.95,0.022254406611124676,0.024692535400390625,0.002220446268717448,0.04361119588216146,-2.380669116973877e-05,0.5683333333333334,42.755948066711426,38,73,0.03402403195699056,0.029849999745686848,0.030603609085083007
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage3_beta_abs_mean,>=,0.059650896862149236,-0.07317557064692179,600,570,0.95,0.027444944381713868,0.028804779052734375,0.010982475280761718,0.04534678141276042,-2.3807485898335776e-05,0.585,42.755948066711426,37,72,0.03772003173828125,0.03295945167541504,0.0339702033996582
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage3_beta_abs_mean,>=,0.06016262173652649,-0.07124819731712342,600,540,0.9,0.025494585037231444,0.018917083740234375,0.00654961903889974,0.04214271545410156,-2.357214689254761e-05,0.55,42.755948066711426,37,68,0.03618251164754232,0.03179707209269206,0.03294814109802246
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage3_beta_abs_mean,<=,0.060509823821485044,-0.020951820373535157,600,90,0.15,-0.001531044642130534,0.0,0.00040360768636067706,-0.004314905802408855,4.7554572423299155e-07,0.07833333333333334,42.755948066711426,5,12,0.00045664469401041665,0.00024599711100260416,-2.737998962402344e-05
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage3_beta_abs_mean,>=,0.060509823821485044,-0.06371463100115458,600,510,0.85,0.025934979120890298,0.0106048583984375,0.005956052144368489,0.04751922607421875,-2.378175656000773e-05,0.5266666666666666,42.755948066711426,34,64,0.0361740239461263,0.03189477284749349,0.03311093966166179
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage3_beta_abs_mean,<=,0.060824578255414964,-0.03411609117190043,600,120,0.2,-0.0027138042449951173,0.0,-0.0025736618041992186,-0.007391688028971354,-6.410777568817139e-06,0.105,42.755948066711426,8,19,0.0017386881510416668,0.001277453104654948,0.0009119637807210286
