run_id,candidate,airlight_mode,depth_mode,alpha,count,mean_psnr_delta,median_psnr_delta,p5_psnr_delta,p95_psnr_delta,hard_bottom25_psnr_delta,easy_top25_psnr_delta,worst10pct_mean_psnr_delta,best10pct_mean_psnr_delta,worst10img_mean_psnr_delta,best10img_mean_psnr_delta,mean_ssim_delta,positive_ratio,non_degradation_ratio_delta_ge_-0.01,strong_reference_cut_psnr,strong_reference_count,strong_regression_count_delta_le_-0.05,worst_regression_count_delta_le_-0.20,true_vs_zero_surplus,true_vs_shuffle_surplus,true_vs_normal_surplus
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,gt,shuffle,0.35,600,-0.0054160316243844105,-0.0002548905679198299,-0.11657385706304062,0.10166194203828738,-0.011480284917015216,-0.0003758408582353449,-0.1375345825097271,0.1116179156380443,-0.23625447305613037,0.17668270029517644,-5.906522274017334e-06,0.49833333333333335,0.5583333333333333,42.755946791850995,150,29,8,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,gt,shuffle,0.5,600,-0.009092286218532534,-0.0011240804554724093,-0.1667936211429275,0.14357219332690108,-0.01683254954605341,-0.0027223886623213406,-0.19801832241196304,0.15761421113350885,-0.33936205003642217,0.2512194987163028,-9.07142957051595e-06,0.4866666666666667,0.54,42.755946791850995,150,37,21,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,gt,shuffle,0.75,600,-0.01701496318316633,-0.004408075608250073,-0.2529772604143815,0.2106734102808413,-0.026320354027836643,-0.009522952038296069,-0.3007046945053645,0.23228804109707954,-0.5131907554941989,0.3739168354050328,-1.5207926432291667e-05,0.4816666666666667,0.5216666666666666,42.755946791850995,150,43,54,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,gt,shuffle,1.0,600,-0.027165940148394505,-0.012168618240671947,-0.35147944878122317,0.27451054377923284,-0.03650907002691163,-0.01989967792585901,-0.40569008752070573,0.3046954202655537,-0.6890075012422165,0.4943767826617943,-2.2390286127726236e-05,0.47,0.495,42.755946791850995,150,45,103,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,gt,normal,0.1,600,-0.001189423870310069,0.00014981476099151791,-0.03340350002238886,0.028899664847910553,-0.0031626009319450786,0.0005497042447211698,-0.03870424996130358,0.03230206635229311,-0.06574873045709709,0.04996560961726289,-1.3826290766398111e-06,0.5033333333333333,0.715,42.755946791850995,150,3,0,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,gt,normal,0.2,600,-0.0027389678640353902,0.00021779206391414618,-0.06720168594068668,0.05728107227592928,-0.00644105444251565,0.0005118452138700036,-0.07780246300084694,0.06415037112524503,-0.13197291449061624,0.09966183360075717,-2.956986427307129e-06,0.5033333333333333,0.6133333333333333,42.755946791850995,150,10,1,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,gt,normal,0.35,600,-0.005737164074533692,-0.00014258724425531,-0.11882556605932067,0.09998354044390219,-0.011574245603126816,-0.0006439917831924901,-0.13716450922527415,0.11104547905998796,-0.2321177452320015,0.17366167879487832,-5.629261334737142e-06,0.5,0.555,42.755946791850995,150,27,8,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,gt,normal,0.5,600,-0.0095416945036759,-0.0020350429861721864,-0.17070029825867686,0.1419999378069917,-0.01696402784363625,-0.0031139341723336617,-0.19749457910953333,0.15688979124096475,-0.3331238523784627,0.24706752059867298,-8.68995984395345e-06,0.49333333333333335,0.5316666666666666,42.755946791850995,150,38,21,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,gt,normal,0.75,600,-0.017665350625806344,-0.005767629080533965,-0.258927555191228,0.20322297708393186,-0.026511419681638747,-0.010131069293702335,-0.2999681928779689,0.23114368910654892,-0.503454800252554,0.36789277298665796,-1.4608303705851237e-05,0.4816666666666667,0.51,42.755946791850995,150,44,53,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,gt,normal,1.0,600,-0.02800085576494885,-0.011721125606861449,-0.3539626240299061,0.26865646828838047,-0.03675645585232272,-0.020737595986506343,-0.4048808259573542,0.3028854631443293,-0.6759876383158783,0.4865408907681342,-2.160857121149699e-05,0.47333333333333333,0.49666666666666665,42.755946791850995,150,48,101,,,
