variant,target_contract,name,threshold,hard_negative_pixels,ldhn_pixels,false_tail_rate,ldhn_recall,pred_high_coverage
f4_global_strat_control,global_target,1657_0.68_1.28.png,0.5132026076316833,632,35,0.0,0.0,0.152099609375
f4_global_strat_control,global_target,1663_0.92_1.8.png,0.5132026076316833,244,113,0.0,0.017699115044247787,0.57763671875
f4_global_strat_control,global_target,1664_0.8_2.0.png,0.5132026076316833,180,30,0.005555555555555556,0.03333333333333333,0.551513671875
f4_global_strat_control,global_target,1666_0.85_0.59.png,0.5132026076316833,2053,79,0.0004870920603994155,0.0,0.018310546875
f4_global_strat_control,global_target,1685_0.79_1.99.png,0.5132026076316833,446,92,0.02466367713004484,0.14130434782608695,0.674072265625
f4_global_strat_control,global_target,1686_0.51_0.6.png,0.5132026076316833,1775,87,0.0011267605633802818,0.0,0.069091796875
f4_global_strat_control,global_target,1687_0.83_1.61.png,0.5132026076316833,663,66,0.0196078431372549,0.15151515151515152,0.622802734375
f4_global_strat_control,global_target,1689_0.74_0.54.png,0.5132026076316833,2287,267,0.00043725404459991256,0.02247191011235955,0.029052734375
f4_global_strat_control,global_target,1691_0.77_1.92.png,0.5132026076316833,453,252,0.0,0.2222222222222222,0.38720703125
f4_global_strat_control,global_target,1696_0.74_1.51.png,0.5132026076316833,2001,204,0.0,0.1568627450980392,0.078125
f4_global_strat_control,global_target,1701_0.55_0.71.png,0.5132026076316833,2326,210,0.0012897678417884782,0.014285714285714285,0.015625
f4_global_strat_control,global_target,1705_0.66_1.4.png,0.5132026076316833,163,918,0.006134969325153374,0.03376906318082789,0.168212890625
f4_global_strat_control,global_target,1712_0.9_0.74.png,0.5132026076316833,1394,116,0.003586800573888092,0.017241379310344827,0.197021484375
f4_global_strat_control,global_target,1718_0.92_1.01.png,0.5132026076316833,412,156,0.009708737864077669,0.038461538461538464,0.5380859375
f4_global_strat_control,global_target,1722_0.85_1.51.png,0.5132026076316833,170,65,0.0,0.07692307692307693,0.7734375
f4_global_strat_control,global_target,1726_0.54_0.7.png,0.5132026076316833,655,199,0.010687022900763359,0.01507537688442211,0.126708984375
f4_global_strat_control,global_target,1730_0.81_1.53.png,0.5132026076316833,1228,80,0.0016286644951140066,0.05,0.184814453125
f4_global_strat_control,global_target,1733_0.57_1.6.png,0.5132026076316833,447,301,0.0,0.11960132890365449,0.36181640625
f4_global_strat_control,global_target,173_0.88_1.45.png,0.5132026076316833,66,627,0.3939393939393939,0.0861244019138756,0.460205078125
f4_global_strat_control,global_target,1756_0.77_1.19.png,0.5132026076316833,312,711,0.016025641025641024,0.01969057665260197,0.216064453125
f4_global_strat_control,global_target,1761_0.99_0.94.png,0.5132026076316833,176,87,0.0,0.022988505747126436,0.5302734375
f4_global_strat_control,global_target,1763_0.58_1.25.png,0.5132026076316833,297,448,0.04040404040404041,0.011160714285714286,0.22900390625
