feature_group,alpha,coverage_target,risk_weight,score,oof_gate_pass,heldout_gate_pass,oof_mean_delta,oof_hard_bottom25_delta,oof_easy_top25_delta,oof_worst_ratio,oof_strong_ratio,heldout_mean_delta,heldout_hard_bottom25_delta,heldout_easy_top25_delta,heldout_worst_ratio,heldout_strong_ratio,gain_features,risk_features
all,0.75,0.3,2.0,0.44268575090361373,False,False,0.15213983058929442,0.20927049384458463,0.12622966962991303,0.07875,0.11487481590574374,0.17908149401346843,0.2659693589260009,0.08714541582994058,0.058333333333333334,0.15492957746478872,"udp_a0_luma_shift_mean,input_highfreq_energy,input_edge_mean","udp_a0_luma_shift_mean,input_edge_mean,input_highfreq_energy"
post_expert,1.0,0.2,0.5,0.44240853025202515,False,False,0.022554959456125897,0.3235146156360684,-0.17577573863325835,0.08333333333333333,0.11192930780559647,0.18857787132263185,0.32410003899702977,-0.17244097212670553,0.06,0.1267605633802817,"udp_a0_luma_shift_mean,udp_a0_absdiff_max,udp_a0_absdiff_range","udp_a0_luma_shift_mean,udp_a0_absdiff_max,udp_a0_absdiff_range"
post_expert,1.0,0.2,1.0,0.44240853025202515,False,False,0.022554959456125897,0.3235146156360684,-0.17577573863325835,0.08333333333333333,0.11192930780559647,0.18857787132263185,0.32410003899702977,-0.17244097212670553,0.06,0.1267605633802817,"udp_a0_luma_shift_mean,udp_a0_absdiff_max,udp_a0_absdiff_range","udp_a0_luma_shift_mean,udp_a0_absdiff_max,udp_a0_absdiff_range"
post_expert,1.0,0.2,1.5,0.44240853025202515,False,False,0.022554959456125897,0.3235146156360684,-0.17577573863325835,0.08333333333333333,0.11192930780559647,0.18857787132263185,0.32410003899702977,-0.17244097212670553,0.06,0.1267605633802817,"udp_a0_luma_shift_mean,udp_a0_absdiff_max,udp_a0_absdiff_range","udp_a0_luma_shift_mean,udp_a0_absdiff_max,udp_a0_absdiff_range"
post_expert,1.0,0.2,2.0,0.44240853025202515,False,False,0.022554959456125897,0.3235146156360684,-0.17577573863325835,0.08333333333333333,0.11192930780559647,0.18857787132263185,0.32410003899702977,-0.17244097212670553,0.06,0.1267605633802817,"udp_a0_luma_shift_mean,udp_a0_absdiff_max,udp_a0_absdiff_range","udp_a0_luma_shift_mean,udp_a0_absdiff_max,udp_a0_absdiff_range"
all,1.0,0.2,0.5,0.4421812579386561,False,False,0.032410351435343425,0.29161560819878235,-0.12319276610249448,0.08416666666666667,0.07952871870397643,0.21404539426167807,0.41726520234738257,-0.060116673859072406,0.07166666666666667,0.056338028169014086,"udp_a0_luma_shift_mean,input_edge_mean,bright_channel_mean","udp_a0_luma_shift_mean,input_edge_mean,bright_channel_mean"
all,1.0,0.1,2.0,0.42574863924064976,False,False,0.01659689664840698,0.18934969374518074,-0.07529050577020434,0.041666666666666664,0.041237113402061855,0.15104092915852865,0.29856316853559556,-0.02682924942231514,0.041666666666666664,0.028169014084507043,"udp_a0_luma_shift_mean,input_edge_mean,bright_channel_mean","udp_a0_luma_shift_mean,input_edge_mean,bright_channel_mean"
all,1.0,0.1,1.5,0.4118234158384072,False,False,0.01714726209640503,0.1736241048949401,-0.07400770004789327,0.04125,0.042709867452135494,0.15104092915852865,0.29856316853559556,-0.02682924942231514,0.041666666666666664,0.028169014084507043,"udp_a0_luma_shift_mean,input_edge_mean,bright_channel_mean","udp_a0_luma_shift_mean,input_edge_mean,bright_channel_mean"
all,1.0,0.1,1.0,0.40990675688250433,False,False,0.015558335781097412,0.17579637225434475,-0.0771257908951727,0.042083333333333334,0.044182621502209134,0.15104092915852865,0.29856316853559556,-0.02682924942231514,0.041666666666666664,0.028169014084507043,"udp_a0_luma_shift_mean,input_edge_mean,bright_channel_mean","udp_a0_luma_shift_mean,input_edge_mean,bright_channel_mean"
all,1.0,0.1,0.5,0.40355101421903594,False,False,0.015165002346038818,0.16858396302593504,-0.07350002507924683,0.041666666666666664,0.042709867452135494,0.15104092915852865,0.29856316853559556,-0.02682924942231514,0.041666666666666664,0.028169014084507043,"udp_a0_luma_shift_mean,input_edge_mean,bright_channel_mean","udp_a0_luma_shift_mean,input_edge_mean,bright_channel_mean"
