variant,threshold,coverage,recall,precision,false_global,false_per_image_mean,false_per_image_p90,false_per_image_p95,ldhn_recall,ldhn_precision,ldhn_per_image_recall_p50,ldhn_per_image_recall_p75,ldhn_per_image_recall_p90,ldhn_images_with_support,pearson,spearman,auroc,auprc,auroc_high_vs_hard_negative,monotonic_pairs,monotonic_valid_pairs,target_high_prevalence
density_only_matched_threshold,0.1211971419552962,0.762635498046875,0.8684782567097463,0.4843156180088814,0.38729689148737434,0.3990814095062201,0.9095315024232633,1.0,0.6555069190133672,0.36015399997015507,0.5365408038976858,0.8016085790884718,0.9156441717791411,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
density_only_matched_threshold,0.12654117494821548,0.7543310546875,0.8612604717201368,0.485578074530543,0.37794361895775086,0.388239153010223,0.9008264462809917,1.0,0.6410125252927623,0.36053945468942145,0.5245901639344263,0.7852760736196319,0.906813627254509,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
density_only_matched_threshold,0.13188846359650291,0.746075439453125,0.8538991729780826,0.4867549650814947,0.36911316057088756,0.3789024627421969,0.888283378746594,0.9965034965034965,0.6270522784987755,0.36073300747121795,0.5155642023346303,0.7724252491694352,0.9030732860520094,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
density_only_matched_threshold,0.13721064031124114,0.7378450520833333,0.846438371367667,0.48788415554163395,0.36025719905510906,0.3679044138396468,0.8809523809523809,0.9936974789915967,0.6134451118766211,0.361056863565276,0.5,0.7587209302325582,0.8984615384615384,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
density_only_matched_threshold,0.14254222810268402,0.7295731608072916,0.8389861805823979,0.4890716615012055,0.35150643794610553,0.35876668058777905,0.8703403565640194,0.9900990099009901,0.5999194252941203,0.36131012747952584,0.483695652173913,0.7474747474747475,0.8888888888888888,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
density_only_matched_threshold,0.14789142161607743,0.7213521321614583,0.8315846979896594,0.49028173026210026,0.3431254722063713,0.349715874188134,0.86709886547812,0.9822222222222222,0.5868101922476269,0.36160111576011156,0.4634146341463415,0.7373737373737373,0.8824786324786325,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
density_only_matched_threshold,0.15,0.7180843098958334,0.8286043957305615,0.4907477713733961,0.3399184537452939,0.346738104992579,0.8618618618618619,0.9822222222222222,0.5814777763191845,0.3616573804784522,0.45652173913043476,0.7311827956989247,0.8824786324786325,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
density_only_matched_threshold,0.15327295660972595,0.7129252115885417,0.8238196472240613,0.49144476438072354,0.3348528947645264,0.3419392125343983,0.8584905660377359,0.9822222222222222,0.5734746257576512,0.36183648696893966,0.4427083333333333,0.7250996015936255,0.8801498127340824,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
density_only_matched_threshold,0.1586624652147293,0.7044405110677083,0.8159541368317521,0.49261537875028955,0.32617226726003945,0.3317654101940981,0.8473282442748091,0.9789473684210527,0.5604106593998542,0.3622716818147236,0.4222972972972973,0.7117117117117117,0.8737864077669902,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
density_only_matched_threshold,0.1639878554890553,0.6959798177083333,0.807971901920788,0.49372617572086713,0.31784868356036433,0.3232765141056241,0.8235294117647058,0.967741935483871,0.5473331130354483,0.3625142411704743,0.38648860958366066,0.6989247311827957,0.8647798742138365,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
