operator_label,split,feature,bin,n,feature_min,feature_max,direct_severe_le_0p2_rate,direct_hard_le_0p5_rate,fixed025_severe_le_0p2_rate,fixed05_severe_le_0p2_rate,wrong_direction_rate,harmful_overshoot_rate,wrong_or_harmful_rate,oracle_image_alpha_eq0_rate,oracle_image_alpha_le_0p125_rate,oracle_image_alpha_gt_0p125_rate,direct_psnr_delta_mean,fixed_alpha_0p125_psnr_delta_mean,fixed_alpha_0p25_psnr_delta_mean,oracle_image_selected_alpha_mean,alpha_star_mean,oracle_image_psnr_delta_mean
D_rep,CONFIRM_AUDIT_ONLY,haze_mean,0,120,0.15900064212647824,0.46429109011048086,0.30833333333333335,0.075,0.0,0.075,0.38333333333333336,0.23333333333333334,0.6166666666666667,0.39166666666666666,0.4583333333333333,0.5416666666666666,-0.043846073480629556,0.014300520710305223,0.022918096532511534,0.4046875,0.42653011437642047,0.12357216120107022
D_rep,CONFIRM_AUDIT_ONLY,haze_mean,1,120,0.4648750859456282,0.5771154284922841,0.325,0.13333333333333333,0.041666666666666664,0.11666666666666667,0.2833333333333333,0.275,0.5583333333333333,0.2916666666666667,0.35,0.65,-0.02834694815513412,0.024441303567288606,0.0408750897359696,0.45989583333333334,0.6163027487450012,0.18201783828546372
D_rep,CONFIRM_AUDIT_ONLY,haze_mean,2,120,0.5774620391394576,0.6570215357056819,0.225,0.1,0.025,0.075,0.21666666666666667,0.24166666666666667,0.4583333333333333,0.21666666666666667,0.2833333333333333,0.7166666666666667,0.0531586180618602,0.03477492298086216,0.06166169228968143,0.5572916666666666,0.7463543671047461,0.2080383971753841
D_rep,CONFIRM_AUDIT_ONLY,haze_mean,3,120,0.6577473486569821,0.7299610208006122,0.16666666666666666,0.08333333333333333,0.016666666666666666,0.058333333333333334,0.25,0.175,0.425,0.25,0.3,0.7,0.1789939332578571,0.04081888056004272,0.07653453095992369,0.5994791666666667,1.3297412239635225,0.29682351266138984
D_rep,CONFIRM_AUDIT_ONLY,haze_mean,4,120,0.7300524432134117,0.8838596783294314,0.15,0.058333333333333334,0.03333333333333333,0.058333333333333334,0.19166666666666668,0.09166666666666666,0.2833333333333333,0.2,0.20833333333333334,0.7916666666666666,0.3154282199109417,0.05276546206054699,0.10195618071591435,0.7098958333333333,1.7956746499935714,0.41792652492221494
D_rep,OOF,haze_mean,0,240,0.1266209588588345,0.47428444028116246,0.29583333333333334,0.12083333333333333,0.016666666666666666,0.125,0.37083333333333335,0.275,0.6458333333333334,0.39166666666666666,0.49166666666666664,0.5083333333333333,-0.06799687323090163,0.011910814784287741,0.017947740787387544,0.36497395833333335,0.33741238523803685,0.11412735083343005
D_rep,OOF,haze_mean,1,240,0.47469596665096414,0.5846717753778936,0.2833333333333333,0.0875,0.004166666666666667,0.06666666666666667,0.2791666666666667,0.3416666666666667,0.6208333333333333,0.2833333333333333,0.3625,0.6375,-0.025493543196929765,0.023571600683334283,0.039509676326849166,0.42421875,0.4934749422358997,0.14108859261303702
D_rep,OOF,haze_mean,2,240,0.5847203354177388,0.6596554574894602,0.21666666666666667,0.09166666666666666,0.008333333333333333,0.07916666666666666,0.24166666666666667,0.2125,0.45416666666666666,0.25,0.3125,0.6875,0.06506733963166386,0.033316333052947227,0.059645154829006126,0.5346354166666667,nan,0.2088953135739712
D_rep,OOF,haze_mean,3,240,0.6606939131271676,0.7315046266653837,0.18333333333333332,0.09583333333333334,0.020833333333333332,0.07916666666666666,0.2375,0.12916666666666668,0.36666666666666664,0.25,0.2833333333333333,0.7166666666666667,0.1651567401463182,0.0374959303491652,0.07029733839046763,0.64375,1.4354221477830515,0.28985845149600625
D_rep,OOF,haze_mean,4,240,0.7326973233050861,0.8956879873576603,0.1375,0.075,0.008333333333333333,0.06666666666666667,0.2,0.15416666666666667,0.3541666666666667,0.20416666666666666,0.22916666666666666,0.7708333333333334,0.21015515758831238,0.04322321397380261,0.0818649055133424,0.65,1.29066476002177,0.304539701015482
