risk_threshold,group,fold,seed,val_count,val_positive,roc_auc,pr_auc,top50_positive,precision_at_50,recall_at_50,top50_enrichment,top100_positive,precision_at_100,recall_at_100,top100_enrichment,top200_positive,precision_at_200,recall_at_200,top200_enrichment
-0.2,B4_hazy_plus_internal_spatial,2,3411,480,10,0.7861702127659574,0.20518799625856463,6.0,0.12,0.6,5.76,7.0,0.07,0.7,3.3600000000000003,8.0,0.04,0.8,1.9200000000000002
-0.2,B4_hazy_plus_internal_spatial,3,3411,480,12,0.7441239316239316,0.07053926705593051,6.0,0.12,0.5,4.8,7.0,0.07,0.5833333333333334,2.8000000000000003,9.0,0.045,0.75,1.7999999999999998
-0.2,B4_hazy_plus_internal_spatial,4,3411,480,17,0.7065175962393597,0.12902010874770264,5.0,0.1,0.29411764705882354,2.823529411764706,9.0,0.09,0.5294117647058824,2.541176470588235,12.0,0.06,0.7058823529411765,1.6941176470588235
-0.2,B4_hazy_plus_internal_spatial,0,2026,480,14,0.8145309625996321,0.2924207751019951,8.0,0.16,0.5714285714285714,5.485714285714286,9.0,0.09,0.6428571428571429,3.0857142857142854,13.0,0.065,0.9285714285714286,2.2285714285714286
-0.2,B4_hazy_plus_internal_spatial,1,2026,480,14,0.7481606376456161,0.1040329967692116,6.0,0.12,0.42857142857142855,4.114285714285714,7.0,0.07,0.5,2.4000000000000004,11.0,0.055,0.7857142857142857,1.8857142857142857
-0.2,B4_hazy_plus_internal_spatial,2,2026,480,10,0.7861702127659574,0.20518799625856463,6.0,0.12,0.6,5.76,7.0,0.07,0.7,3.3600000000000003,8.0,0.04,0.8,1.9200000000000002
-0.2,B4_hazy_plus_internal_spatial,3,2026,480,12,0.7441239316239316,0.07053926705593051,6.0,0.12,0.5,4.8,7.0,0.07,0.5833333333333334,2.8000000000000003,9.0,0.045,0.75,1.7999999999999998
-0.2,B4_hazy_plus_internal_spatial,4,2026,480,17,0.7065175962393597,0.12902010874770264,5.0,0.1,0.29411764705882354,2.823529411764706,9.0,0.09,0.5294117647058824,2.541176470588235,12.0,0.06,0.7058823529411765,1.6941176470588235
-0.2,B5_internal_sensitivity,0,3407,480,14,0.8450337216431637,0.15272752579114726,7.0,0.14,0.5,4.800000000000001,10.0,0.1,0.7142857142857143,3.428571428571429,13.0,0.065,0.9285714285714286,2.2285714285714286
-0.2,B5_internal_sensitivity,1,3407,480,14,0.7988963825873697,0.10595973737101097,5.0,0.1,0.35714285714285715,3.428571428571429,9.0,0.09,0.6428571428571429,3.0857142857142854,12.0,0.06,0.8571428571428571,2.057142857142857
-0.2,B5_internal_sensitivity,2,3407,480,10,0.7906382978723404,0.1853684809028897,4.0,0.08,0.4,3.8400000000000003,7.0,0.07,0.7,3.3600000000000003,7.0,0.035,0.7,1.6800000000000002
-0.2,B5_internal_sensitivity,3,3407,480,12,0.7775997150997151,0.06512852220234497,3.0,0.06,0.25,2.4,8.0,0.08,0.6666666666666666,3.1999999999999997,11.0,0.055,0.9166666666666666,2.1999999999999997
-0.2,B5_internal_sensitivity,4,3407,480,17,0.7183331215855673,0.23054683771552495,6.0,0.12,0.35294117647058826,3.388235294117647,7.0,0.07,0.4117647058823529,1.9764705882352944,11.0,0.055,0.6470588235294118,1.5529411764705883
-0.2,B5_internal_sensitivity,0,3411,480,14,0.8450337216431637,0.15272752579114726,7.0,0.14,0.5,4.800000000000001,10.0,0.1,0.7142857142857143,3.428571428571429,13.0,0.065,0.9285714285714286,2.2285714285714286
-0.2,B5_internal_sensitivity,1,3411,480,14,0.7988963825873697,0.10595973737101097,5.0,0.1,0.35714285714285715,3.428571428571429,9.0,0.09,0.6428571428571429,3.0857142857142854,12.0,0.06,0.8571428571428571,2.057142857142857
-0.2,B5_internal_sensitivity,2,3411,480,10,0.7906382978723404,0.1853684809028897,4.0,0.08,0.4,3.8400000000000003,7.0,0.07,0.7,3.3600000000000003,7.0,0.035,0.7,1.6800000000000002
-0.2,B5_internal_sensitivity,3,3411,480,12,0.7775997150997151,0.06512852220234497,3.0,0.06,0.25,2.4,8.0,0.08,0.6666666666666666,3.1999999999999997,11.0,0.055,0.9166666666666666,2.1999999999999997
-0.2,B5_internal_sensitivity,4,3411,480,17,0.7183331215855673,0.23054683771552495,6.0,0.12,0.35294117647058826,3.388235294117647,7.0,0.07,0.4117647058823529,1.9764705882352944,11.0,0.055,0.6470588235294118,1.5529411764705883
-0.2,B5_internal_sensitivity,0,2026,480,14,0.8450337216431637,0.15272752579114726,7.0,0.14,0.5,4.800000000000001,10.0,0.1,0.7142857142857143,3.428571428571429,13.0,0.065,0.9285714285714286,2.2285714285714286
-0.2,B5_internal_sensitivity,1,2026,480,14,0.7988963825873697,0.10595973737101097,5.0,0.1,0.35714285714285715,3.428571428571429,9.0,0.09,0.6428571428571429,3.0857142857142854,12.0,0.06,0.8571428571428571,2.057142857142857
-0.2,B5_internal_sensitivity,2,2026,480,10,0.7906382978723404,0.1853684809028897,4.0,0.08,0.4,3.8400000000000003,7.0,0.07,0.7,3.3600000000000003,7.0,0.035,0.7,1.6800000000000002
-0.2,B5_internal_sensitivity,3,2026,480,12,0.7774216524216524,0.06510403989192708,3.0,0.06,0.25,2.4,8.0,0.08,0.6666666666666666,3.1999999999999997,11.0,0.055,0.9166666666666666,2.1999999999999997
