name,ldhn_components,ldhn_largest_component,ldhn_component_p50,ldhn_component_p90
383_0.87_0.78.png,3,322,52.0,322.0
386_0.91_1.27.png,4,27,5.0,27.0
400_0.99_1.08.png,13,122,4.0,109.0
407_0.59_0.69.png,12,4,2.0,4.0
414_0.52_1.27.png,19,212,10.0,54.0
423_0.92_0.7.png,4,283,73.0,283.0
439_0.95_1.86.png,2,8,3.0,8.0
440_0.72_1.73.png,1,1,1.0,1.0
446_0.72_1.25.png,6,144,9.0,43.0
449_0.79_1.15.png,5,93,1.0,93.0
454_0.63_0.9.png,24,648,2.0,18.0
455_0.55_1.99.png,19,130,4.0,18.0
459_0.9_0.51.png,10,563,4.0,162.0
470_0.8_0.94.png,14,541,2.0,407.0
471_0.9_1.29.png,6,283,4.0,11.0
479_0.58_1.54.png,8,67,21.0,42.0
483_0.88_1.16.png,2,124,42.0,124.0
484_0.58_1.89.png,13,69,5.0,50.0
490_0.83_1.67.png,1,30,30.0,30.0
492_0.61_1.32.png,4,39,31.0,39.0
4_0.84_1.98.png,4,183,17.0,183.0
507_0.74_1.31.png,11,1241,1.0,194.0
508_0.87_0.92.png,21,846,1.0,12.0
50_0.82_1.93.png,11,510,6.0,83.0
517_0.95_1.51.png,7,242,1.0,8.0
525_0.65_1.46.png,13,48,4.0,47.0
531_0.55_1.19.png,16,316,3.0,28.0
533_0.96_1.51.png,6,50,9.0,33.0
535_0.78_1.25.png,7,993,13.0,64.0
540_0.92_1.97.png,1,18,18.0,18.0
542_0.55_1.46.png,18,29,4.0,22.0
547_0.79_1.67.png,17,1173,4.0,17.0
551_0.75_1.66.png,10,1632,2.0,16.0
556_0.86_1.79.png,12,323,4.0,7.0
565_0.76_1.56.png,7,318,15.0,256.0
574_0.65_1.38.png,2,1431,3.0,1431.0
575_0.71_1.7.png,1,961,961.0,961.0
576_0.84_1.69.png,4,448,32.0,448.0
581_0.54_1.36.png,4,20,15.0,20.0
585_0.6_0.89.png,14,675,6.0,165.0
590_0.65_0.94.png,14,1140,4.0,252.0
593_0.64_0.82.png,6,38,8.0,21.0
595_0.78_1.11.png,10,49,7.0,39.0
596_0.55_0.89.png,13,21,3.0,19.0
59_0.59_1.43.png,15,650,5.0,56.0
603_0.67_1.99.png,2,2,1.0,2.0
605_0.58_0.77.png,5,408,29.0,408.0
609_0.58_1.34.png,21,153,3.0,42.0
614_0.95_0.72.png,3,171,147.0,171.0
618_0.66_1.24.png,15,150,3.0,81.0
61_0.71_1.08.png,22,271,3.0,41.0
624_0.88_1.47.png,19,83,2.0,7.0
638_0.73_1.34.png,4,576,416.0,576.0
653_0.78_0.53.png,8,49,2.0,16.0
659_0.86_0.85.png,5,940,90.0,940.0
661_0.6_1.84.png,2,360,7.0,360.0
663_0.87_1.75.png,2,214,2.0,214.0
674_0.93_0.72.png,11,103,4.0,42.0
676_0.53_1.48.png,18,81,4.0,22.0
681_0.66_0.67.png,20,306,4.0,36.0
683_0.9_1.98.png,14,280,2.0,70.0
686_0.62_0.82.png,25,731,2.0,34.0
687_0.89_1.42.png,5,468,77.0,468.0
68_0.75_1.58.png,7,194,5.0,18.0
692_0.69_1.32.png,4,1823,5.0,1823.0
693_0.92_1.29.png,4,204,44.0,204.0
695_0.53_0.7.png,7,247,32.0,227.0
69_0.76_0.64.png,7,845,2.0,339.0
706_0.58_1.34.png,4,1179,19.0,1179.0
714_0.84_0.79.png,8,162,4.0,10.0
715_0.73_0.85.png,11,132,6.0,19.0
718_0.91_1.21.png,8,131,2.0,8.0
719_0.61_0.7.png,29,486,3.0,20.0
720_0.62_1.27.png,22,14,3.0,8.0
728_0.58_1.55.png,18,48,5.0,10.0
72_0.7_1.07.png,11,164,4.0,13.0
731_0.85_1.53.png,2,850,229.0,850.0
735_0.5_1.46.png,8,466,5.0,20.0
743_0.75_1.36.png,2,26,7.0,26.0
744_0.9_0.99.png,2,49,2.0,49.0
746_0.64_0.98.png,9,107,9.0,92.0
748_0.79_0.91.png,5,235,128.0,235.0
751_0.7_1.66.png,6,33,1.0,32.0
752_0.78_0.7.png,10,237,13.0,33.0
755_0.86_0.67.png,18,786,2.0,10.0
756_0.9_1.88.png,13,136,3.0,70.0
778_0.99_1.06.png,7,396,12.0,79.0
781_0.51_1.6.png,24,726,2.0,25.0
785_0.71_1.08.png,12,88,2.0,7.0
787_0.88_0.71.png,7,50,16.0,26.0
791_0.89_1.37.png,13,67,3.0,45.0
793_0.71_0.66.png,7,220,34.0,65.0
799_0.65_0.7.png,6,10,1.0,6.0
79_0.62_1.54.png,11,172,19.0,166.0
7_0.89_0.6.png,7,181,22.0,84.0
805_0.75_1.2.png,22,413,6.0,27.0
80_0.99_1.95.png,1,73,73.0,73.0
810_0.78_1.52.png,4,1117,637.0,1117.0
812_0.59_0.82.png,12,1082,3.0,1069.0
