feature_set,probe,threshold,coverage,precision,recall
feature_set_3,mlp,0.5003850030899049,0.48002563554795985,0.7340898976412995,0.7047639393292031
feature_set_3,mlp,0.5148727285861969,0.4599978637043367,0.7432950191570882,0.6838282418286691
feature_set_3,mlp,0.5293035531044007,0.4400234992522965,0.7515475179026581,0.6613971373638111
feature_set_3,mlp,0.5440356385707855,0.41999572740867336,0.758646998982706,0.6372569963682974
feature_set_3,mlp,0.5596402287483215,0.4000213629566332,0.7658210947930574,0.6126895962401196
feature_set_3,mlp,0.575555317401886,0.37999359111301007,0.7739985945186226,0.5882290108951079
feature_set_3,mlp,0.5908134222030639,0.36001922666096986,0.7841566533155319,0.5646229438154241
feature_set_3,mlp,0.6101831448078155,0.3399914548173467,0.7953188815582783,0.5408032471694082
feature_set_3,mlp,0.6260917520523073,0.32001709036530657,0.8040720961281709,0.5146336252937407
feature_set_3,mlp,0.6426132619380951,0.2999893185216834,0.8128894427630408,0.48771629993591115
feature_set_3,mlp,0.6623750567436218,0.2800149540696432,0.8245279420179287,0.4617603076265755
feature_set_3,mlp,0.681136953830719,0.2599871822260201,0.8370994248151191,0.43527024140140996
feature_set_3,mlp,0.70296231508255,0.24001281777397993,0.8484646194926568,0.40728476821192056
feature_set_3,mlp,0.7247895526885987,0.22003845332193975,0.8592233009708737,0.37812433240760523
