variant,name,need_pearson,need_mae,need_target_mean,need_pred_mean,need_target_max,need_pred_max,hard_negative_pixels,false_strong_pixels,low_context_false_strong_rate
d7a_hn_ordinal,2454_0.81_1.92.png,0.17331992468701252,0.20748275518417358,0.5866140127182007,0.45069998502731323,0.9958998560905457,0.5640642642974854,76,0,0.0
d7a_hn_ordinal,2474_0.91_0.84.png,0.17878545899819595,0.21534648537635803,0.33370330929756165,0.32096853852272034,0.9514752626419067,0.5771778225898743,1689,0,0.0
d7a_hn_ordinal,252_0.98_1.73.png,0.01964033556753157,0.23386375606060028,0.592035174369812,0.4036330282688141,0.9933058619499207,0.5255813002586365,34,0,0.0
d7a_hn_ordinal,2556_0.89_1.72.png,0.6322444799489129,0.15300816297531128,0.3774627447128296,0.31683477759361267,0.9757750630378723,0.5615332722663879,1282,0,0.0
d7a_hn_ordinal,2567_0.52_1.05.png,0.3948366382023982,0.14630034565925598,0.28177177906036377,0.2767322063446045,0.8949249982833862,0.4842464029788971,1297,0,0.0
d7a_hn_ordinal,2589_0.62_1.28.png,0.41564655545449797,0.15439362823963165,0.34803181886672974,0.3300606906414032,0.9620251655578613,0.4755958914756775,809,0,0.0
d7a_hn_ordinal,2646_0.82_1.47.png,0.4760943781470981,0.19222122430801392,0.4151451289653778,0.415960431098938,0.9876248240470886,0.5435787439346313,867,0,0.0
d7a_hn_ordinal,2652_0.85_1.34.png,0.5451769237371848,0.1506715714931488,0.25843584537506104,0.29627612233161926,0.9847873449325562,0.5455678701400757,1875,0,0.0
d7a_hn_ordinal,2665_0.85_1.17.png,0.3213657233689542,0.16778503358364105,0.3376762866973877,0.31981632113456726,0.9532873034477234,0.5342655777931213,1113,0,0.0
d7a_hn_ordinal,2767_0.69_0.71.png,-0.1093578641053618,0.20787599682807922,0.2901768088340759,0.31509488821029663,0.9565876126289368,0.5480434894561768,2338,0,0.0
d7a_hn_ordinal,2769_0.81_1.94.png,0.12065641177486268,0.21320702135562897,0.42218708992004395,0.3809323310852051,0.9887250661849976,0.5408125519752502,1046,0,0.0
d7a_hn_ordinal,2794_0.8_0.92.png,0.458503992761631,0.1750178039073944,0.23768481612205505,0.34430164098739624,0.8943626284599304,0.5421604514122009,350,0,0.0
d7a_hn_ordinal,2807_0.78_0.64.png,0.1223638440910079,0.18050779402256012,0.1662314534187317,0.28743985295295715,0.9233875274658203,0.47211915254592896,3518,0,0.0
d7a_hn_ordinal,2843_0.7_0.5.png,0.24482093750215866,0.17668192088603973,0.3064616322517395,0.26562637090682983,0.9893631935119629,0.4218427538871765,2003,0,0.0
d7a_hn_ordinal,2872_0.75_1.98.png,0.08730732758346033,0.2275598794221878,0.5896596908569336,0.4937000274658203,0.9936119318008423,0.5746811032295227,44,0,0.0
d7a_hn_ordinal,2884_0.65_1.22.png,0.3430510792432715,0.1899780035018921,0.380364328622818,0.3573961853981018,0.9794123768806458,0.5211784839630127,1312,0,0.0
d7a_hn_ordinal,2901_0.59_1.0.png,0.060472797057472064,0.22618241608142853,0.40968048572540283,0.46999484300613403,0.9875878095626831,0.5676618814468384,1588,0,0.0
d7a_hn_ordinal,2916_0.62_1.39.png,0.525769478020158,0.20282799005508423,0.3623412847518921,0.2916325330734253,0.9700002670288086,0.5306238532066345,392,0,0.0
d7a_hn_ordinal,2941_0.7_1.3.png,0.11643993200641196,0.19509178400039673,0.38579216599464417,0.39060667157173157,0.9473625421524048,0.5653132200241089,802,0,0.0
d7a_hn_ordinal,483_0.88_1.16.png,0.14017258125116405,0.2842547297477722,0.5763084292411804,0.34133821725845337,0.9906939268112183,0.4467857778072357,104,0,0.0
d7a_hn_ordinal,492_0.61_1.32.png,0.6485936921702066,0.490631639957428,0.8555623888969421,0.3707428574562073,0.994999885559082,0.4961632788181305,197,0,0.0
d7a_hn_ordinal,50_0.82_1.93.png,-0.1873794140283749,0.3125109076499939,0.6697334051132202,0.41294270753860474,1.0,0.5129596590995789,111,0,0.0
