mode,split,fold,index,name,mapper,K,candidate_scale,family,anchor_psnr,output_psnr,oracle_psnr,output_gain,oracle_gain,corr,P_benefit,proxy_score,M_safe_mean,M_safe_nonzero_frac,pred_abs_mean,scaled_pred_abs_mean,target_abs_mean
v04d,train,0,69,1063_0.51_1.61.png,spatial_priors_kernel_knn_9,16,1.0,spatial_priors_kernel_knn,34.049652099609375,34.50943374633789,35.521324157714844,0.4597816467285156,1.4716720581054688,0.7190165519714355,1.0,0.999997615814209,0.17347022891044617,1.0,0.006485844496637583,0.006485844496637583,0.015106525272130966
v04d,train,0,69,1063_0.51_1.61.png,spatial_priors_ridge_10,16,1.0,spatial_priors_ridge,34.049652099609375,34.9418830871582,35.521324157714844,0.8922309875488281,1.4716720581054688,0.8218644857406616,1.0,0.999997615814209,0.17347022891044617,1.0,0.012004152871668339,0.012004152871668339,0.015106525272130966
v04d,train,0,69,1063_0.51_1.61.png,global_mean_coeff,16,1.0,global_mean,34.049652099609375,34.25926971435547,35.521324157714844,0.20961761474609375,1.4716720581054688,0.12168582528829575,1.0,0.999997615814209,0.17347022891044617,1.0,0.006135018542408943,0.006135018542408943,0.015106525272130966
v04d,train,0,70,1064_0.54_0.97.png,global_plus_spatial_kernel_knn_9,16,1.0,global_plus_spatial_kernel_knn,37.8137092590332,37.8137092590332,37.8137092590332,0.0,0.0,,0.0,0.9908985495567322,0.023182423785328865,1.0,0.006645857356488705,0.006645857356488705,0.009890547953546047
v04d,train,0,70,1064_0.54_0.97.png,convir_spatial_kernel_knn_9,16,1.0,convir_spatial_kernel_knn,37.8137092590332,37.8137092590332,37.8137092590332,0.0,0.0,,0.0,0.9908985495567322,0.023182423785328865,1.0,0.0075837369076907635,0.0075837369076907635,0.009890547953546047
v04d,train,0,70,1064_0.54_0.97.png,spatial_priors_kernel_knn_9,16,1.0,spatial_priors_kernel_knn,37.8137092590332,37.8137092590332,37.8137092590332,0.0,0.0,,0.0,0.9908985495567322,0.023182423785328865,1.0,0.006645857356488705,0.006645857356488705,0.009890547953546047
v04d,train,0,70,1064_0.54_0.97.png,spatial_priors_ridge_10,16,1.0,spatial_priors_ridge,37.8137092590332,37.8137092590332,37.8137092590332,0.0,0.0,,0.0,0.9908985495567322,0.023182423785328865,1.0,0.008582948707044125,0.008582948707044125,0.009890547953546047
v04d,train,0,70,1064_0.54_0.97.png,global_mean_coeff,16,1.0,global_mean,37.8137092590332,37.8137092590332,37.8137092590332,0.0,0.0,,0.0,0.9908985495567322,0.023182423785328865,1.0,0.006135018542408943,0.006135018542408943,0.009890547953546047
v04d,train,0,71,1065_0.84_1.48.png,global_plus_spatial_kernel_knn_9,16,1.0,global_plus_spatial_kernel_knn,40.10078430175781,41.021060943603516,42.48809814453125,0.9202766418457031,2.3873138427734375,0.5756976008415222,1.0,0.999998927116394,0.27423444390296936,1.0,0.00498668197542429,0.00498668197542429,0.007293304428458214
v04d,train,0,71,1065_0.84_1.48.png,convir_spatial_kernel_knn_9,16,1.0,convir_spatial_kernel_knn,40.10078430175781,41.027381896972656,42.48809814453125,0.9265975952148438,2.3873138427734375,0.582312822341919,1.0,0.999998927116394,0.27423444390296936,1.0,0.004972595255821943,0.004972595255821943,0.007293304428458214
v04d,train,0,71,1065_0.84_1.48.png,spatial_priors_kernel_knn_9,16,1.0,spatial_priors_kernel_knn,40.10078430175781,41.28480529785156,42.48809814453125,1.18402099609375,2.3873138427734375,0.5715295672416687,1.0,0.999998927116394,0.27423444390296936,1.0,0.006308737210929394,0.006308737210929394,0.007293304428458214
v04d,train,0,71,1065_0.84_1.48.png,spatial_priors_ridge_10,16,1.0,spatial_priors_ridge,40.10078430175781,41.44744110107422,42.48809814453125,1.3466567993164062,2.3873138427734375,0.6380824446678162,1.0,0.999998927116394,0.27423444390296936,1.0,0.006549794692546129,0.006549794692546129,0.007293304428458214
v04d,train,0,71,1065_0.84_1.48.png,global_mean_coeff,16,1.0,global_mean,40.10078430175781,40.652854919433594,42.48809814453125,0.5520706176757812,2.3873138427734375,0.04952612519264221,1.0,0.999998927116394,0.27423444390296936,1.0,0.006135018542408943,0.006135018542408943,0.007293304428458214
v04d,train,0,72,1066_0.58_1.42.png,global_plus_spatial_kernel_knn_9,16,1.0,global_plus_spatial_kernel_knn,38.9912223815918,39.35553741455078,40.00377655029297,0.3643150329589844,1.0125541687011719,0.6010735630989075,1.0,0.9997963309288025,0.12211613357067108,1.0,0.004475576337426901,0.004475576337426901,0.008044712245464325
v04d,train,0,72,1066_0.58_1.42.png,convir_spatial_kernel_knn_9,16,1.0,convir_spatial_kernel_knn,38.9912223815918,39.36502456665039,40.00377655029297,0.37380218505859375,1.0125541687011719,0.6162102222442627,1.0,0.9997963309288025,0.12211613357067108,1.0,0.00450893072411418,0.00450893072411418,0.008044712245464325
v04d,train,0,72,1066_0.58_1.42.png,spatial_priors_kernel_knn_9,16,1.0,spatial_priors_kernel_knn,38.9912223815918,39.47098159790039,40.00377655029297,0.47975921630859375,1.0125541687011719,0.5860974788665771,1.0,0.9997963309288025,0.12211613357067108,1.0,0.005732378922402859,0.005732378922402859,0.008044712245464325
v04d,train,0,72,1066_0.58_1.42.png,spatial_priors_ridge_10,16,1.0,spatial_priors_ridge,38.9912223815918,39.536643981933594,40.00377655029297,0.5454216003417969,1.0125541687011719,0.7397103309631348,1.0,0.9997963309288025,0.12211613357067108,1.0,0.00586847634986043,0.00586847634986043,0.008044712245464325
v04d,train,0,72,1066_0.58_1.42.png,global_mean_coeff,16,1.0,global_mean,38.9912223815918,39.309417724609375,40.00377655029297,0.3181953430175781,1.0125541687011719,0.28253379464149475,1.0,0.9997963309288025,0.12211613357067108,1.0,0.006135018542408943,0.006135018542408943,0.008044712245464325
