bootstrap_replicates,bootstrap_seed,endpoint,estimate,key,kind,lower,max_statistic_critical,method,method_index,operator,schema_version,simultaneous_max_statistic,standard_error,upper,window,window_index
1000,3407,margin,-1.232114061385653e-09,0062:absolute:exact_gradient_intersection:fixed4:D_ref:margin,absolute,-2.0464826260033624e-09,5.707624518672681,exact_gradient_intersection,1,D_ref,1,True,1.4268082316092727e-10,-4.177454967679435e-10,fixed4,0
1000,3407,cvar25,-2.41254505262134e-09,0063:absolute:exact_gradient_intersection:fixed4:D_ref:cvar25,absolute,-5.60619539803834e-09,5.707624518672681,exact_gradient_intersection,1,D_ref,1,True,5.595410726421942e-10,7.811052927956594e-10,fixed4,0
1000,3407,cvar10,-3.53578901484612e-09,0064:absolute:exact_gradient_intersection:fixed4:D_ref:cvar10,absolute,-1.0383936712302527e-08,5.707624518672681,exact_gradient_intersection,1,D_ref,1,True,1.1998244935441122e-09,3.3123586826102865e-09,fixed4,0
1000,3407,severe_rate,-3.0517578125e-05,0065:absolute:exact_gradient_intersection:fixed4:D_ref:severe_rate,absolute,-0.0003316747023598262,5.707624518672681,exact_gradient_intersection,1,D_ref,1,True,5.276400422795521e-05,0.0002706395461098262,fixed4,0
1000,3407,hard_rate,-3.0517578125e-05,0066:absolute:exact_gradient_intersection:fixed4:D_ref:hard_rate,absolute,-0.00033582972527861115,5.707624518672681,exact_gradient_intersection,1,D_ref,1,True,5.34919818489763e-05,0.00027479456902861115,fixed4,0
1000,3407,render_mse,-3.1173463810318935e-10,0067:absolute:exact_gradient_intersection:fixed4:D_ref:render_mse,absolute,-1.4224546417632033e-09,5.707624518672681,exact_gradient_intersection,1,D_ref,1,True,1.946028509805186e-10,7.989853655568246e-10,fixed4,0
1000,3407,mean_psnr,1.131950975974405e-05,0068:absolute:exact_gradient_intersection:fixed4:D_ref:mean_psnr,absolute,-6.544938740664697e-06,5.707624518672681,exact_gradient_intersection,1,D_ref,1,True,3.129927072456259e-06,2.91839582601528e-05,fixed4,0
1000,3407,p05_psnr,-1.8923226853928554e-05,0069:absolute:exact_gradient_intersection:fixed4:D_ref:p05_psnr,absolute,-0.0001561208259523137,5.707624518672681,exact_gradient_intersection,1,D_ref,1,True,2.4037600695269754e-05,0.00011827437224445659,fixed4,0
1000,3407,anchor,-2.531420628670844e-10,0070:absolute:exact_gradient_intersection:fixed4:D_rep:anchor,absolute,-6.70656792470189e-10,5.707624518672681,exact_gradient_intersection,1,D_rep,1,True,7.31503497185548e-11,1.6437266673602024e-10,fixed4,0
1000,3407,harm,-6.871206936764906e-10,0071:absolute:exact_gradient_intersection:fixed4:D_rep:harm,absolute,-1.595658646481958e-09,5.707624518672681,exact_gradient_intersection,1,D_rep,1,True,1.5917969898565604e-10,2.2141725912897669e-10,fixed4,0
1000,3407,margin,-1.223553709901997e-09,0072:absolute:exact_gradient_intersection:fixed4:D_rep:margin,absolute,-2.034059435903396e-09,5.707624518672681,exact_gradient_intersection,1,D_rep,1,True,1.4200403746774217e-10,-4.130479839005978e-10,fixed4,0
1000,3407,cvar25,-2.419614064663733e-09,0073:absolute:exact_gradient_intersection:fixed4:D_rep:cvar25,absolute,-5.596268344907327e-09,5.707624518672681,exact_gradient_intersection,1,D_rep,1,True,5.5656329000814e-10,7.57040215579861e-10,fixed4,0
1000,3407,cvar10,-3.4825792729424577e-09,0074:absolute:exact_gradient_intersection:fixed4:D_rep:cvar10,absolute,-1.0394280535165056e-08,5.707624518672681,exact_gradient_intersection,1,D_rep,1,True,1.2109593473801125e-09,3.429121989280141e-09,fixed4,0
1000,3407,severe_rate,-6.103515625e-05,0075:absolute:exact_gradient_intersection:fixed4:D_rep:severe_rate,absolute,-0.00051465007905676,5.707624518672681,exact_gradient_intersection,1,D_rep,1,True,7.947525653145962e-05,0.00039257976655676,fixed4,0
1000,3407,hard_rate,-6.103515625e-05,0076:absolute:exact_gradient_intersection:fixed4:D_rep:hard_rate,absolute,-0.00044848627819374734,5.707624518672681,exact_gradient_intersection,1,D_rep,1,True,6.788307827121218e-05,0.00032641596569374734,fixed4,0
1000,3407,render_mse,-3.050276142779751e-10,0077:absolute:exact_gradient_intersection:fixed4:D_rep:render_mse,absolute,-1.4144996879161603e-09,5.707624518672681,exact_gradient_intersection,1,D_rep,1,True,1.9438420835296906e-10,8.044444593602101e-10,fixed4,0
1000,3407,mean_psnr,1.1116443289438394e-05,0078:absolute:exact_gradient_intersection:fixed4:D_rep:mean_psnr,absolute,-6.6968187874192284e-06,5.707624518672681,exact_gradient_intersection,1,D_rep,1,True,3.12095899416315e-06,2.8929705366296016e-05,fixed4,0
1000,3407,p05_psnr,-1.9003685178375918e-05,0079:absolute:exact_gradient_intersection:fixed4:D_rep:p05_psnr,absolute,-0.00015358837433783029,5.707624518672681,exact_gradient_intersection,1,D_rep,1,True,2.357980780255536e-05,0.00011558100398107845,fixed4,0
1000,3407,anchor,-2.3566981699474354e-10,0080:absolute:exact_gradient_intersection:shuffled16:D_ref:anchor,absolute,-6.24834450272564e-10,5.707624518672681,exact_gradient_intersection,1,D_ref,1,True,6.818329271742661e-11,1.5349481628307702e-10,shuffled16,1
1000,3407,harm,-6.396235208150358e-10,0081:absolute:exact_gradient_intersection:shuffled16:D_ref:harm,absolute,-1.4861466613616575e-09,5.707624518672681,exact_gradient_intersection,1,D_ref,1,True,1.4831444110894008e-10,2.0689961973158593e-10,shuffled16,1
