variant,stage_set,action_family,count,mean_dpsnr,p05_dpsnr,cvar5_dpsnr,unsafe_rate,severe_rate,target_bucket
energy_norm_plus_bucket_strength,S4_final_decoder,medium,160,0.23177545070648192,-0.5529155731201172,-0.6491079330444336,0.29375,0.2,mid_50
energy_norm_plus_bucket_strength,S4_final_decoder,mild,120,0.02254791259765625,-0.33255901336669924,-0.6437346140543619,0.23333333333333334,0.11666666666666667,easy_top25
energy_norm_plus_bucket_strength,S4_final_decoder,mild,40,0.1932981491088867,-0.18515586853027344,-0.2686586380004883,0.225,0.05,hard_bottom25
energy_norm_plus_bucket_strength,S4_final_decoder,mild,160,0.17733819484710694,-0.2898418426513672,-0.47569751739501953,0.225,0.1125,mid_50
energy_norm_plus_bucket_strength,S4_final_decoder,strong,120,0.32388318379720055,-0.2802275657653809,-0.3071746826171875,0.225,0.125,hard_bottom25
energy_norm_plus_bucket_strength,S5_bottleneck_mid,medium,80,0.45280795097351073,-0.3180984497070312,-0.45974111557006836,0.175,0.075,hard_bottom25
energy_norm_plus_bucket_strength,S5_bottleneck_mid,medium,160,0.4339564561843872,-0.5954751968383789,-1.09480619430542,0.24375,0.1875,mid_50
energy_norm_plus_bucket_strength,S5_bottleneck_mid,mild,120,0.07260265350341796,-0.30838546752929685,-0.4853096008300781,0.2,0.075,easy_top25
energy_norm_plus_bucket_strength,S5_bottleneck_mid,mild,40,0.28815655708312987,-0.18198919296264648,-0.3059368133544922,0.075,0.05,hard_bottom25
energy_norm_plus_bucket_strength,S5_bottleneck_mid,mild,160,0.22378959655761718,-0.29160022735595703,-0.5171346664428711,0.1875,0.075,mid_50
energy_norm_plus_bucket_strength,S5_bottleneck_mid,strong,120,0.5828569094340007,-0.31965932846069334,-0.47568384806315106,0.175,0.1,hard_bottom25
energy_norm_plus_bucket_strength,S6_early_mid_final,medium,80,0.4157208681106567,-0.45188035964965817,-0.6620521545410156,0.2375,0.1625,hard_bottom25
energy_norm_plus_bucket_strength,S6_early_mid_final,medium,160,0.43911583423614503,-0.8590469360351562,-1.4008188247680664,0.28125,0.2375,mid_50
energy_norm_plus_bucket_strength,S6_early_mid_final,mild,120,0.05374603271484375,-0.45163917541503906,-0.7915134429931641,0.25,0.14166666666666666,easy_top25
energy_norm_plus_bucket_strength,S6_early_mid_final,mild,40,0.2764763832092285,-0.20273904800415038,-0.40805912017822266,0.225,0.05,hard_bottom25
energy_norm_plus_bucket_strength,S6_early_mid_final,mild,160,0.24831013679504393,-0.42777767181396487,-0.6921720504760742,0.23125,0.11875,mid_50
energy_norm_plus_bucket_strength,S6_early_mid_final,strong,120,0.5279395103454589,-0.6117252349853516,-0.7515869140625,0.275,0.24166666666666667,hard_bottom25
energy_norm_plus_bucket_strength_plus_alignment_gate,S4_final_decoder,medium,70,0.2604069301060268,-0.22542572021484375,-0.2785496711730957,0.22857142857142856,0.07142857142857142,hard_bottom25
energy_norm_plus_bucket_strength_plus_alignment_gate,S4_final_decoder,medium,126,0.2621225932287791,-0.36752796173095703,-0.5284124101911273,0.2619047619047619,0.1746031746031746,mid_50
energy_norm_plus_bucket_strength_plus_alignment_gate,S4_final_decoder,mild,120,0.02254791259765625,-0.33255901336669924,-0.6437346140543619,0.23333333333333334,0.11666666666666667,easy_top25
energy_norm_plus_bucket_strength_plus_alignment_gate,S4_final_decoder,mild,40,0.1932981491088867,-0.18515586853027344,-0.2686586380004883,0.225,0.05,hard_bottom25
energy_norm_plus_bucket_strength_plus_alignment_gate,S4_final_decoder,mild,160,0.17733819484710694,-0.2898418426513672,-0.47569751739501953,0.225,0.1125,mid_50
energy_norm_plus_bucket_strength_plus_alignment_gate,S4_final_decoder,strong,105,0.3146333240327381,-0.23552894592285156,-0.2930765151977539,0.22857142857142856,0.11428571428571428,hard_bottom25
energy_norm_plus_bucket_strength_plus_alignment_gate,S5_bottleneck_mid,medium,78,0.44780555138221156,-0.33064575195312496,-0.45974111557006836,0.1794871794871795,0.07692307692307693,hard_bottom25
energy_norm_plus_bucket_strength_plus_alignment_gate,S5_bottleneck_mid,medium,130,0.45415220994215744,-0.4788980484008789,-0.8408949715750558,0.2230769230769231,0.15384615384615385,mid_50
energy_norm_plus_bucket_strength_plus_alignment_gate,S5_bottleneck_mid,mild,120,0.07260265350341796,-0.30838546752929685,-0.4853096008300781,0.2,0.075,easy_top25
energy_norm_plus_bucket_strength_plus_alignment_gate,S5_bottleneck_mid,mild,40,0.28815655708312987,-0.18198919296264648,-0.3059368133544922,0.075,0.05,hard_bottom25
energy_norm_plus_bucket_strength_plus_alignment_gate,S5_bottleneck_mid,mild,160,0.22378959655761718,-0.29160022735595703,-0.5171346664428711,0.1875,0.075,mid_50
energy_norm_plus_bucket_strength_plus_alignment_gate,S5_bottleneck_mid,strong,117,0.5685164296728933,-0.3431571960449219,-0.47568384806315106,0.1794871794871795,0.10256410256410256,hard_bottom25
energy_norm_plus_bucket_strength_plus_alignment_gate,S6_early_mid_final,medium,68,0.38412147409775677,-0.40304031372070315,-0.5398430824279785,0.25,0.16176470588235295,hard_bottom25
energy_norm_plus_bucket_strength_plus_alignment_gate,S6_early_mid_final,medium,120,0.49792550404866537,-0.6234672546386719,-0.9006538391113281,0.24166666666666667,0.18333333333333332,mid_50
energy_norm_plus_bucket_strength_plus_alignment_gate,S6_early_mid_final,mild,120,0.05374603271484375,-0.45163917541503906,-0.7915134429931641,0.25,0.14166666666666666,easy_top25
energy_norm_plus_bucket_strength_plus_alignment_gate,S6_early_mid_final,mild,40,0.2764763832092285,-0.20273904800415038,-0.40805912017822266,0.225,0.05,hard_bottom25
energy_norm_plus_bucket_strength_plus_alignment_gate,S6_early_mid_final,mild,160,0.24831013679504393,-0.42777767181396487,-0.6921720504760742,0.23125,0.11875,mid_50
energy_norm_plus_bucket_strength_plus_alignment_gate,S6_early_mid_final,strong,102,0.4814911823646695,-0.4974315643310547,-0.6765836079915365,0.29411764705882354,0.2549019607843137,hard_bottom25
raw_v228_baseline,S4_final_decoder,medium,40,-0.1014211654663086,-1.9895059585571289,-2.1924171447753906,0.525,0.35,easy_top25
raw_v228_baseline,S4_final_decoder,medium,40,0.32478699684143064,-0.6736217498779297,-1.0240345001220703,0.275,0.175,hard_bottom25
raw_v228_baseline,S4_final_decoder,medium,80,0.3541860580444336,-0.949155616760254,-1.4585466384887695,0.325,0.25,mid_50
raw_v228_baseline,S4_final_decoder,mild,40,0.019886875152587892,-0.9184162139892578,-1.043252944946289,0.325,0.15,easy_top25
