variant,stage_set,action_name,action_strength,count,mean_dpsnr,p05_dpsnr,cvar5_dpsnr,unsafe_rate,severe_rate,target_bucket,source_bucket,strong_reference_regression_rate
bucket_strength_grid,S6_early_mid_final,strong_0.85,0.85,20,0.4204864501953125,-0.33621788024902344,-0.3759002685546875,0.3,0.2,hard_bottom25,all,0.0
bucket_strength_grid,S6_early_mid_final,strong_1.00,1.0,20,0.47386760711669923,-0.4134552001953125,-0.4779472351074219,0.3,0.2,hard_bottom25,all,0.0
bucket_strength_grid,S6_early_mid_final,strong_1.25,1.25,20,0.5471711158752441,-0.5522934913635253,-0.6676025390625,0.3,0.3,hard_bottom25,all,0.0
bucket_strength_grid,S4_final_decoder,medium_0.50,0.5,20,0.3607598304748535,-0.5027837753295898,-0.9521369934082031,0.3,0.25,hard_bottom25,hard_bottom25,0.0
bucket_strength_grid,S4_final_decoder,medium_0.67,0.67,20,0.40738325119018554,-0.726203727722168,-1.3549575805664062,0.35,0.3,hard_bottom25,hard_bottom25,0.0
bucket_strength_grid,S4_final_decoder,mild_0.33,0.33,20,0.2741399765014648,-0.3033448219299317,-0.5813407897949219,0.25,0.15,hard_bottom25,hard_bottom25,0.0
bucket_strength_grid,S4_final_decoder,strong_0.85,0.85,20,0.4118049621582031,-0.9921776771545411,-1.8044471740722656,0.35,0.35,hard_bottom25,hard_bottom25,0.0
bucket_strength_grid,S4_final_decoder,strong_1.00,1.0,20,0.379957389831543,-1.2508246421813967,-2.189624786376953,0.4,0.35,hard_bottom25,hard_bottom25,0.0
bucket_strength_grid,S4_final_decoder,strong_1.25,1.25,20,0.25696754455566406,-1.7129055976867675,-2.8395538330078125,0.4,0.4,hard_bottom25,hard_bottom25,0.0
bucket_strength_grid,S5_bottleneck_mid,medium_0.50,0.5,20,0.5633097648620605,-0.449984359741211,-0.5859336853027344,0.2,0.15,hard_bottom25,hard_bottom25,0.0
bucket_strength_grid,S5_bottleneck_mid,medium_0.67,0.67,20,0.7053727149963379,-0.6639351844787598,-0.8489837646484375,0.3,0.15,hard_bottom25,hard_bottom25,0.0
bucket_strength_grid,S5_bottleneck_mid,mild_0.33,0.33,20,0.3935080528259277,-0.26449947357177733,-0.3519783020019531,0.15,0.1,hard_bottom25,hard_bottom25,0.0
bucket_strength_grid,S5_bottleneck_mid,strong_0.85,0.85,20,0.8213545799255371,-0.9161168098449707,-1.153778076171875,0.3,0.25,hard_bottom25,hard_bottom25,0.0
bucket_strength_grid,S5_bottleneck_mid,strong_1.00,1.0,20,0.8878935813903809,-1.1432440757751465,-1.424468994140625,0.3,0.3,hard_bottom25,hard_bottom25,0.0
bucket_strength_grid,S5_bottleneck_mid,strong_1.25,1.25,20,0.9323455810546875,-1.5477110862731933,-1.8992118835449219,0.3,0.3,hard_bottom25,hard_bottom25,0.0
bucket_strength_grid,S6_early_mid_final,medium_0.50,0.5,20,0.5000807762145996,-0.5393855094909668,-0.8651924133300781,0.25,0.25,hard_bottom25,hard_bottom25,0.0
bucket_strength_grid,S6_early_mid_final,medium_0.67,0.67,20,0.5896020889282226,-0.8002013206481934,-1.2438087463378906,0.3,0.25,hard_bottom25,hard_bottom25,0.0
bucket_strength_grid,S6_early_mid_final,mild_0.33,0.33,20,0.36705322265625,-0.31342382431030275,-0.5217781066894531,0.25,0.1,hard_bottom25,hard_bottom25,0.0
