variant,control_family,action_name,stage_set,count,mean_dpsnr,p05_dpsnr,cvar5_dpsnr,unsafe_rate,severe_rate,source_bucket,target_bucket,is_impossible_sanity_control,is_plausible_miscalibration,is_plausible_routing_error,gate_role
alignment_gate,impossible_sanity,overstrong_3.0,S5_bottleneck_mid,17,-3.278225393856273,-6.302168273925782,-6.369194030761719,0.8823529411764706,0.8235294117647058,all,easy_top25,1,0,0,sensitivity_lower_bound
alignment_gate,impossible_sanity,overstrong_3.0,S5_bottleneck_mid,19,0.8415031433105469,-0.9657621383666992,-1.4904365539550781,0.47368421052631576,0.42105263157894735,all,hard_bottom25,1,0,0,sensitivity_lower_bound
alignment_gate,impossible_sanity,overstrong_3.0,S5_bottleneck_mid,36,-0.050156487358940974,-3.4800148010253906,-5.012418746948242,0.4722222222222222,0.4444444444444444,all,mid_50,1,0,0,sensitivity_lower_bound
alignment_gate,impossible_sanity,overstrong_3.0,S5_bottleneck_mid,19,-1.0834836457905017,-3.1059314727783205,-3.2949066162109375,0.8947368421052632,0.8421052631578947,easy_top25,easy_top25,1,0,0,sensitivity_lower_bound
alignment_gate,impossible_sanity,overstrong_3.0,S5_bottleneck_mid,20,-0.9134734153747559,-5.161215972900391,-5.367404937744141,0.6,0.6,hard_bottom25,hard_bottom25,1,0,0,sensitivity_lower_bound
alignment_gate,impossible_sanity,overstrong_3.0,S5_bottleneck_mid,29,-0.6631857773353314,-4.2173614501953125,-4.452024459838867,0.5862068965517241,0.5517241379310345,mid_50,mid_50,1,0,0,sensitivity_lower_bound
alignment_gate,impossible_sanity,overstrong_3.0,S6_early_mid_final,12,-5.302435239156087,-8.486213493347169,-8.84756851196289,1.0,1.0,all,easy_top25,1,0,0,sensitivity_lower_bound
alignment_gate,impossible_sanity,overstrong_3.0,S6_early_mid_final,18,0.2600854237874349,-2.09783821105957,-2.411510467529297,0.5555555555555556,0.5,all,hard_bottom25,1,0,0,sensitivity_lower_bound
alignment_gate,impossible_sanity,overstrong_3.0,S6_early_mid_final,31,-1.3055246414676789,-4.3741302490234375,-5.169490814208984,0.6774193548387096,0.6774193548387096,all,mid_50,1,0,0,sensitivity_lower_bound
alignment_gate,impossible_sanity,overstrong_3.0,S6_early_mid_final,15,-2.0675005594889324,-3.059946823120117,-3.9217262268066406,0.9333333333333333,0.9333333333333333,easy_top25,easy_top25,1,0,0,sensitivity_lower_bound
